strain,fixed_strain
blank,blank
75,USA300 pKKFarRed-1
76,USA300 pKKFarRed-2
442,LESB58 pUCP.YFP-1
443,LESB58 pUCP.YFP-2
445,LESB58 pUCP.eGFP-1
446,LESB58 pUCP.eGFP-2
317,PAO1 pUCP.eGFP-1
318,PAO1 pUCP.eGFP-2
366,PAO1 pUC-mini-P1-GFP-1
367,PAO1 pUC-mini-P1-GFP-2
369,PAO1 pUC-mini-P1-YFP-1
370,PAO1 pUC-mini-P1-YFP-2
3,PAO1 (wild-type)
4,LESB58 (wild-type)
6,PA14 (wild-type)
1,USA300 (wild-type)
308,PAO1 pUCP.rpoZ-Pro.GFP-1
309,PAO1 pUCP.rpoZ-Pro.GFP-2
311,PAO1 pUCP.lacZ-Pro.YFP-1
312,PAO1 pUCP.lacZ-Pro.YFP-2
313,PAO1 pUCP.lacZ-Pro.YFP-3
320,PA14 pUCP.lacZ-P.YFP-1
321,PA14 pUCP.lacZ-P.YFP-2
323,PA14 pUCP.eGFP-1
324,PA14 pUCP.eGFP-2
